protocol,flow_duration,tot_fwd_pkt,tot_fwd_pkt_len,fwd_pkt_len_mean,pkt_per_second,byte_per_second,iat_mean,iat_std,flow_id,label
1,1.001539945602417,2,196,98.0,2.9953872665513384,293.5479521220312,0.5007699728012085,0.4668458700180053,10.61.0.1_8.8.8.8_0_0_1_1_1,1
1,1.035452127456665,1,98,98.0,2.897285080063302,283.9339378462036,0.500764012336731,0.4668518304824829,10.61.0.1_8.8.8.8_0_0_1_1_2,1
1,2.00310492515564,2,196,98.0,1.4976749157395748,146.77214174247834,0.5007824897766113,0.4668703079223633,10.61.0.1_8.8.8.8_0_0_1_1_3,1
1,2.036937475204468,1,98,98.0,1.4727992569820338,144.3343271842393,0.5007426738739014,0.4669101238250732,10.61.0.1_8.8.8.8_0_0_1_1_4,1
1,3.0042974948883057,2,196,98.0,0.9985695508199112,97.8598159803513,0.500596284866333,0.4667637348175049,10.61.0.1_8.8.8.8_0_0_1_1_5,1
1,3.038149356842041,1,98,98.0,0.9874432253450188,96.76943608381184,0.5006059408187866,0.4667540788650512,10.61.0.1_8.8.8.8_0_0_1_1_6,1
1,4.005764961242676,2,196,98.0,0.7489206254051747,73.39422128970712,0.5007337331771851,0.4668818712234497,10.61.0.1_8.8.8.8_0_0_1_1_7,1
1,4.039599895477295,1,98,98.0,0.7426478061252494,72.77948500027445,0.500725269317627,0.4668903350830078,10.61.0.1_8.8.8.8_0_0_1_1_8,1
1,5.007193326950073,2,196,98.0,0.5991380408368069,58.71552800200708,0.5007141828536987,0.4668792486190796,10.61.0.1_8.8.8.8_0_0_1_1_9,1
1,5.041069030761719,1,98,98.0,0.5951118664896942,58.32096291599003,0.5007345676422119,0.4668588638305664,10.61.0.1_8.8.8.8_0_0_1_1_10,1
1,6.008816957473755,2,196,98.0,0.4992663316642731,48.92810050309876,0.5008118152618408,0.4669361114501953,10.61.0.1_8.8.8.8_0_0_1_1_11,1
1,6.042752742767334,1,98,98.0,0.4964624778981313,48.65332283401687,0.5008418560028076,0.4669060707092285,10.61.0.1_8.8.8.8_0_0_1_1_12,1
1,7.01057505607605,2,196,98.0,0.4279249528039653,41.9366453747886,0.5008790493011475,0.4669432640075683,10.61.0.1_8.8.8.8_0_0_1_1_13,1
1,7.044489145278931,1,98,98.0,0.4258648055424341,41.73475094315855,0.5008682012557983,0.4669541120529175,10.61.0.1_8.8.8.8_0_0_1_1_14,1
1,8.012124300003052,2,196,98.0,0.3744325334541873,36.69438827851036,0.500774621963501,0.4668605327606201,10.61.0.1_8.8.8.8_0_0_1_1_15,1
1,8.04586386680603,1,98,98.0,0.3728623861480906,36.54051384251289,0.5006873607635498,0.4669477939605713,10.61.0.1_8.8.8.8_0_0_1_1_16,1
1,9.013551235198976,2,196,98.0,0.332832190300827,32.61755464948105,0.5007134675979614,0.4669739007949829,10.61.0.1_8.8.8.8_0_0_1_1_17,1
1,9.047508001327516,1,98,98.0,0.3315830170650105,32.49513567237103,0.5008220672607422,0.4668653011322021,10.61.0.1_8.8.8.8_0_0_1_1_18,1
1,10.01523470878601,2,196,98.0,0.2995436539663125,29.35527808869864,0.5008417367935181,0.466884970664978,10.61.0.1_8.8.8.8_0_0_1_1_19,1
1,10.049159288406372,1,98,98.0,0.298532435789039,29.25617870732582,0.5008256435394287,0.4669010639190674,10.61.0.1_8.8.8.8_0_0_1_1_20,1
1,11.016751289367676,2,196,98.0,0.272312583011229,26.686633135100447,0.5007582902908325,0.4668337106704712,10.61.0.1_8.8.8.8_0_0_1_1_21,1
1,11.050663709640505,1,98,98.0,0.2714769066208056,26.60473684883895,0.5007522106170654,0.4668397903442383,10.61.0.1_8.8.8.8_0_0_1_1_22,1
1,12.01833152770996,2,196,98.0,0.2496186756941324,24.46263021802498,0.5007901191711426,0.4668776988983154,10.61.0.1_8.8.8.8_0_0_1_1_23,1
1,12.05224323272705,1,98,98.0,0.2489163172423954,24.39379908975475,0.5007897615432739,0.4668780565261841,10.61.0.1_8.8.8.8_0_0_1_1_24,1
1,13.019809484481812,2,196,98.0,0.2304181181434084,22.58097557805403,0.5007389783859253,0.4668272733688354,10.61.0.1_8.8.8.8_0_0_1_1_25,1
1,13.053750991821287,1,98,98.0,0.2298190000620988,22.52226200608569,0.5007538795471191,0.4668123722076416,10.61.0.1_8.8.8.8_0_0_1_1_26,1
1,14.021159648895264,2,196,98.0,0.2139623308715675,20.968308425413618,0.5006750822067261,0.4667335748672485,10.61.0.1_8.8.8.8_0_0_1_1_27,1
1,14.055142879486084,1,98,98.0,0.213445001998421,20.91761019584526,0.5006959438323975,0.4667127132415771,10.61.0.1_8.8.8.8_0_0_1_1_28,1
1,15.022775888442991,2,196,98.0,0.1996967818915475,19.57028462537166,0.5008081197738647,0.4668248891830444,10.61.0.1_8.8.8.8_0_0_1_1_29,1
1,15.05674934387207,1,98,98.0,0.1992461939482951,19.526127006932924,0.5008032321929932,0.466829776763916,10.61.0.1_8.8.8.8_0_0_1_1_30,1
1,16.024358987808228,2,196,98.0,0.1872149770410462,18.34706775002253,0.5007915496826172,0.46681809425354,10.61.0.1_8.8.8.8_0_0_1_1_31,1
1,16.05827760696411,1,98,98.0,0.1868195377752697,18.308314701976435,0.5007641315460205,0.4668455123901367,10.61.0.1_8.8.8.8_0_0_1_1_32,1
1,17.025727033615112,2,196,98.0,0.1762039291524459,17.267985056939697,0.5006840229034424,0.4667654037475586,10.61.0.1_8.8.8.8_0_0_1_1_33,1
